 rho 4 T 4
1.00000000e-14 1.00000000e+00 1.00000000e-03 1.00000000e-01
1.00000000e-14 1.99526231e+02 1.00000000e-03 1.00000000e-01
1.00000000e-14 3.98107171e+04 1.00000000e-03 1.00000000e-01
1.00000000e-14 7.94328235e+06 1.00000000e-03 1.00000000e-01
4.29866235e-10 1.00000000e+00 1.00000000e-03 1.00000000e-01
4.29866235e-10 1.99526231e+02 1.00000000e-03 1.00000000e-01
4.29866235e-10 3.98107171e+04 1.00000000e-03 1.00000000e-01
4.29866235e-10 7.94328235e+06 1.00000000e-03 1.00000000e-01
1.84784980e-05 1.00000000e+00 1.00000000e-03 1.00000000e-01
1.84784980e-05 1.99526231e+02 1.00000000e-03 1.00000000e-01
1.84784980e-05 3.98107171e+04 1.00000000e-03 1.00000000e-01
1.84784980e-05 7.94328235e+06 1.00000000e-03 1.00000000e-01
7.94328235e-01 1.00000000e+00 1.00000000e-03 1.00000000e-01
7.94328235e-01 1.99526231e+02 1.00000000e-03 1.00000000e-01
7.94328235e-01 3.98107171e+04 1.00000000e-03 1.00000000e-01
7.94328235e-01 7.94328235e+06 1.00000000e-03 1.00000000e-01
